"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"1",2013,"12_13","hb1","H","INITIAL","N_18","",NA,"","",NA,"","6/6/2013",157,7,5,12.53,0.066642459,""
"2",2013,"12_13","hb10","H","INITIAL","N_19","",NA,"","",NA,"","5/26/2013",146,6,2,11.75,0.013239446,"1 egg destroyed by technician"
"3",2013,"12_13","hb11","H","INITIAL","N_20","",NA,"","",NA,"","5/30/2013",150,8,7,13.03,0.033590921,"incubation started during laying"
"4",2013,"12_13","hb13","H","INITIAL","N_21","",NA,"","",NA,"","5/28/2013",148,8,NA,NA,NA,"Chicks died before fledging"
"5",2013,"12_13","hb14","H","INITIAL","N_22","",NA,"","",NA,"","6/13/2013",164,6,NA,NA,NA,"Abandoned/Predated during incubation"
"6",2013,"12_13","hb17","H","INITIAL","N_23","",NA,"","",NA,"","5/29/2013",149,6,NA,NA,NA,"A queen bee scared off our adult bird"
"7",2013,"12_13","hb18","H","INITIAL","N_24","",NA,"","",NA,"","5/30/2013",150,9,9,12.14,0.056490975,"incubation started during laying"
"8",2013,"12_13","hb21","H","INITIAL","N_25","",NA,"","",NA,"","5/26/2013",146,10,9,12.55,0.050368855,"1 tiny chick died when measuring nestlings"
"9",2013,"12_13","hb22B","H","INITIAL","N_26","",NA,"","",NA,"","5/31/2013",151,6,6,12.77,0.057865716,""
"10",2013,"12_13","hb25","H","INITIAL","N_27","",NA,"","",NA,"","5/28/2013",148,8,8,12.62,0.041524629,"incubation started during laying"
"11",2013,"12_13","hb27","H","INITIAL","N_28","",NA,"","",NA,"","6/3/2013",154,9,4,12.22,0.055546726,""
"12",2013,"12_13","hb28","H","INITIAL","N_29","",NA,"","",NA,"","6/4/2013",155,8,8,13.3,0.033768319,""
"13",2013,"12_13","hb29","H","INITIAL","N_30","",NA,"","",NA,"","6/3/2013",154,8,NA,NA,NA,"Chicks died before fledging"
"14",2013,"12_13","hb33","H","INITIAL","N_31","",NA,"","",NA,"","5/29/2013",149,7,NA,NA,NA,"Chicks died before fledging"
"15",2013,"12_13","hb34","H","INITIAL","N_32","",NA,"","",NA,"","5/29/2013",149,8,2,12.43,0.13425358,"Only 2 chicks fledged box smelled of rot"
"16",2013,"12_13","hb36","H","INITIAL","N_33","",NA,"","",NA,"","5/28/2013",148,7,NA,NA,NA,"Chicks died before fledging"
"17",2013,"12_13","hb4","H","INITIAL","N_34","",NA,"","",NA,"","6/4/2013",155,8,5,13.36,0.026632406,""
"18",2013,"12_13","hb41","H","INITIAL","N_35","",NA,"","",NA,"","6/1/2013",185,8,NA,NA,NA,"chicks died before fledging"
"19",2013,"12_13","hb44","H","INITIAL","N_36","",NA,"","",NA,"","5/30/2013",150,8,8,12.94,0.038930426,""
"20",2013,"12_13","hb5","H","INITIAL","N_37","",NA,"","",NA,"","6/5/2013",156,7,NA,NA,NA,"Abandoned - 5 eggs buried under nest cup"
"21",2013,"12_13","hb6","H","INITIAL","N_38","",NA,"","",NA,"","5/28/2013",148,8,8,12.21,0.042669825,""
"22",2014,"13_14","1","H","INITIAL","N_57","",NA,"","",NA,"","5/29/2014",149,6,5,12.6,0.019464847,""
"23",2014,"13_14","1-1","H","INITIAL","N_58","",NA,"","",NA,"","6/1/2014",152,6,2,12.64,0.035802848,""
"24",2014,"13_14","12","H","INITIAL","N_60","",NA,"","",NA,"","6/1/2014",152,7,NA,NA,NA,"Predated; Chipmunk attacked Carrie"
"25",2014,"13_14","12_2","H","INITIAL","N_61","",NA,"","",NA,"","6/3/2014",154,NA,NA,NA,NA,"eggs predated"
"26",2014,"13_14","13","H","INITIAL","N_63","",NA,"","",NA,"","5/28/2014",148,NA,NA,NA,NA,"eggs predated"
"27",2014,"13_14","14","H","INITIAL","N_66","",NA,"","",NA,"","5/26/2014",146,NA,NA,NA,NA,"eggs predated"
"28",2014,"13_14","16A","H","INITIAL","N_69","",NA,"","",NA,"","5/25/2014",145,8,8,13.85,0.02850915,""
"29",2014,"13_14","17","H","INITIAL","N_70","",NA,"","",NA,"","6/9/2014",160,7,7,12.79,0.04153817,""
"30",2014,"13_14","18","H","INITIAL","N_71","",NA,"","",NA,"","6/5/2014",156,6,4,13.32,0.023138375,""
"31",2014,"13_14","18_1","H","INITIAL","N_72","",NA,"","",NA,"","6/1/2014",152,NA,NA,NA,NA,"eggs predated"
"32",2014,"13_14","19A","H","INITIAL","N_73","",NA,"","",NA,"","5/27/2014",147,6,4,12.33,0.050375345,""
"33",2014,"13_14","21","H","INITIAL","N_75","",NA,"","",NA,"","5/27/2014",147,9,6,12.83,0.046562428,""
"34",2014,"13_14","22","H","INITIAL","N_76","",NA,"","",NA,"","6/5/2014",156,5,3,14.17,0.071735224,""
"35",2014,"13_14","22B","H","INITIAL","N_77","",NA,"","",NA,"","5/29/2014",149,8,7,13.73,0.040341952,""
"36",2014,"13_14","24","H","INITIAL","N_80","",NA,"","",NA,"","5/29/2014",149,7,7,13.35,0.043475906,""
