"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"1",2013,"12_13","behind.camp","L","INITIAL","N_1","",NA,"","",NA,"","5/17/2013",137,6,5,13.69,0.022466847,""
"2",2013,"12_13","bend.box","L","INITIAL","N_2","",NA,"","",NA,"","5/16/2013",136,7,5,13.72,0.037257221,""
"3",2013,"12_13","cf2.clear","L","INITIAL","N_3","",NA,"","",NA,"","5/19/2013",139,6,6,12.6,0.039281869,""
"4",2013,"12_13","cf2.creek","L","INITIAL","N_4","",NA,"","",NA,"","5/19/2013",139,7,7,12.35,0.038876276,""
"5",2013,"12_13","F1.left","L","INITIAL","N_5","",NA,"","",NA,"","5/23/2013",143,7,5,11.67,0.037936765,""
"6",2013,"12_13","f2.left","L","INITIAL","N_6","",NA,"","",NA,"","5/19/2013",139,7,5,13.79,0.024908671,"1 chick dead all others fledged"
"7",2013,"12_13","f3.left","L","INITIAL","N_7","",NA,"","",NA,"","5/14/2013",134,7,NA,NA,NA,"Chicks died before fledging"
"8",2013,"12_13","f3.right","L","INITIAL","N_8","",NA,"","",NA,"","5/17/2013",137,7,6,13.16,0.037,""
"9",2013,"12_13","f5.right","L","INITIAL","N_9","",NA,"","",NA,"","5/31/2013",151,7,4,12.04,0.083230737,""
"10",2013,"12_13","f6.right","L","INITIAL","N_11","",NA,"","",NA,"","5/15/2013",135,8,6,13.11,0.034568728,""
"11",2013,"12_13","f7.left","L","INITIAL","N_12","",NA,"","",NA,"","5/18/2013",138,7,6,12.36,0.040569773,""
"12",2013,"12_13","f8.left","L","INITIAL","N_13","",NA,"","",NA,"","5/21/2013",141,8,4,13.28,0.101402476,"3 eggs were buried under nest material - most likely not incubated"
"13",2013,"12_13","ff","L","INITIAL","N_14","",NA,"","",NA,"","5/19/2013",139,7,6,13.56,0.04608761,""
"14",2013,"12_13","fork.left","L","INITIAL","N_15","",NA,"","",NA,"","5/24/2013",144,8,8,10.12,0.135678334,""
"15",2013,"12_13","gate.left","L","INITIAL","N_16","",NA,"","",NA,"","5/26/2013",146,5,5,13.45,0.032015158,"Chicks died before fledging"
"16",2013,"12_13","gate.right","L","INITIAL","N_17","",NA,"","",NA,"","5/18/2013",138,8,7,12.52,0.055314034,""
"17",2013,"12_13","ic.l1b3","L","INITIAL","N_39","",NA,"","",NA,"","5/16/2013",136,7,4,13.72,0.100080079,"1 egg with big gash found"
"18",2013,"12_13","ic.l1last","L","INITIAL","N_40","",NA,"","",NA,"","5/18/2013",138,6,4,12.9,0.061031505,"1 egg has a puncture"
"19",2013,"12_13","ic.l2b2","L","INITIAL","N_41","",NA,"","",NA,"","5/14/2013",134,8,7,13.33,0.032714846,"1 chick dead all others fledged"
"20",2013,"12_13","ic.l2b4","L","INITIAL","N_42","",NA,"","",NA,"","5/20/2013",140,8,NA,NA,NA,"Abandoned/Predated"
"21",2013,"12_13","ic.l2b9","L","INITIAL","N_43","",NA,"","",NA,"","6/4/2013",155,6,NA,NA,NA,"Abandoned/Predated"
"22",2013,"12_13","ic.wayout","L","INITIAL","N_44","",NA,"","",NA,"","5/15/2013",135,8,NA,NA,NA,"Chicks died before fledging"
"23",2013,"12_13","if.10right","L","INITIAL","N_45","",NA,"","",NA,"","5/16/2013",136,7,7,13.75,0.055385849,""
"24",2013,"12_13","if.1right","L","INITIAL","N_46","",NA,"","",NA,"","5/16/2013",136,7,6,13.81,0.051137772,""
"25",2013,"12_13","if.2right","L","INITIAL","N_47","",NA,"","",NA,"","5/18/2013",138,6,6,12.32,0.038925226,""
"26",2013,"12_13","if.4right","L","INITIAL","N_48","",NA,"","",NA,"","5/17/2013",137,7,7,12.18,0.062489283,""
"27",2013,"12_13","if.5right","L","INITIAL","N_49","",NA,"","",NA,"","5/9/2013",129,9,2,13.46,0.006304072,"Only 2 chicks hatched and fledged.  2 eggs were punctured 1 was dented and 1 damaged"
"28",2013,"12_13","if3.left","L","INITIAL","N_50","",NA,"","",NA,"","5/14/2013",134,7,6,13.61,0.031463577,"found during incubation stage at least incubated 12 days exact incubation unknown"
